strain,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content,ana360,psilabs,sclabs
00-ow-1,,,,,,,,0.0,,,,,0.0,,0.0,,0.82,0.0,,0.95,0.0,,0.0,0.0,,,1.23,46.22,,,,0.82,,0.21,,,0.26,1.22,0.76,,1,0,0
0011516,,,,,,,,0.0,,,,,0.0,,0.0,,1.73,0.0,,1.55,0.0,,0.0,0.0,,,0.37,74.14,,,,0.31,,0.45,,,0.21,4.78,1.56,,1,0,0
007-og,,,,,,,,0.0,,,,,2.74,,0.0,,0.3,0.02,,0.23,0.0,,0.0,0.0,,,9.0,0.93,,,,,0.13,0.19,,,0.55,1.74,0.06,,1,0,0
008-wa,,,,,,,,0.0,,,,,0.0,,0.0,,0.45,0.0,,1.02,0.0,,0.0,0.0,,,12.67,65.72,,,,0.29,1.04,1.58,,,1.64,,0.76,,1,0,0
009-tahoe-og,,,,,,0.0,0.0,0.038,0.0,0.0,0.011,0.0,0.264,0.012,0.063,0.0,0.221,0.023,0.0,0.7929999999999999,0.411,,0.047,0.187,0.0,0.0,,2.56,0.0,85.35,0.0,0.0,0.04,0.0,0.0,0.0,1.55,0.24,0.0,,0,0,1
01-thai-lemon-haze-shatter,,,,,,,,0.96,,,,,5.21,,0.0,,2.18,4.3,,1.88,1.24,,0.0,1.79,,,48.5,6.32,,,,,0.59,0.31,,,1.91,,0.45,,1,0,0
0105-wax,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.85,0.0,0.0,0.0,0.99,0.0,0.0,14.05,0.04,0.0,0.03,0.09,0.0,0.0,,44.25,0.0,1.09,0.25,3.99,0.0,0.0,,,0.0,0.31,0.27,,0,1,0
010716-tail-frac,,,,,,,,0.0,,,,,0.0,,0.0,,0.67,0.4,,0.0,0.0,,0.0,0.0,,,,55.69,,,,1.24,,0.39,,,0.08,1.77,1.1,,1,0,0
0107160,,,,,,,,0.0,,,,,0.0,,0.0,,0.64,0.0,,0.6,0.0,,0.0,0.0,,,0.49,76.22,,,,0.47,0.05,0.53,,,0.59,2.29,1.37,,1,0,0
011018-07-purple-punch-sce,0.0,0.0,,,,0.0,0.185,0.0,0.0,0.0,0.33999999999999997,0.0,0.865,0.0,0.135,0.19,0.47000000000000003,0.63,0.025,0.95,1.315,0.77,0.4,2.825,0.07,0.0,,19.97,0.01,48.205,0.265,0.01,1.0750000000000002,0.01,,,1.31,0.44,0.15999999999999998,,0,2,0
011216-win-frac,,,,,,,,0.0,,,,,0.0,,0.0,,0.74,0.25,,0.0,0.0,,0.0,0.0,,,,64.53,,,,1.14,,0.29,,,,2.25,1.16,,1,0,0
011216-win-tail-frac,,,,,,,,0.0,,,,,0.0,,0.0,,2.42,0.0,,0.32,0.0,,0.0,0.0,,,,79.4,,,,1.19,,0.78,,,,2.47,3.69,,1,0,0
011218-01-slh-sce,0.0,0.0,,,,0.24,0.12,0.0,0.1,0.0,0.0,0.0,0.23,0.0,5.08,0.0,0.36,0.5,0.36,0.79,1.25,2.39,0.28,0.69,0.21,0.07,,11.07,0.01,46.38,0.01,0.01,1.12,0.01,,,11.65,1.45,0.01,,0,2,0
011218-02-slh-sce,0.0,0.0,,,,0.26,0.13,0.0,0.1,0.0,0.0,0.0,0.24,0.0,5.15,0.0,0.36,0.57,0.39,0.78,1.3,2.33,0.25,0.73,0.23,0.08,,13.51,0.01,43.54,0.01,0.01,1.13,0.01,,,14.72,1.89,0.01,,0,2,0
011518-02-straw-lem-sce,0.0,0.0,,,,0.0,0.13,0.0,0.06,0.0,0.0,0.0,0.33,0.0,2.76,0.08,0.44,0.51,0.2,0.69,2.65,1.27,0.22,2.13,0.12,0.04,,15.24,0.01,47.49,0.01,0.01,1.03,0.01,,,8.75,1.55,0.01,,0,2,0
011616-hot-frac,,,,,,,,0.0,,,,,0.0,,0.09,,0.69,0.2,,0.18,0.0,,0.0,0.0,,,,77.92,,,,1.27,,0.55,,,,2.31,1.52,,1,0,0
011618-07-strawberry-lemonade-sce,0.0,0.0,,,,0.24,0.19,0.0,0.0,0.0,0.0,0.0,0.45,0.0,4.87,0.0,0.62,0.67,0.35,1.01,4.07,2.42,0.42,2.85,0.2,0.0,,3.91,0.01,53.61,0.01,0.01,1.12,0.01,,,10.33,1.55,0.01,,0,1,0
011618-08-slh-sce,0.0,0.0,,,,0.31,0.14,0.0,0.12,0.0,0.0,0.0,0.28,0.0,6.49,0.0,0.49,0.65,0.46,1.08,1.63,3.07,0.36,0.85,0.27,0.08,,11.78,0.01,44.94,0.01,0.01,1.16,0.01,,,14.69,1.73,0.03,,0,2,0
011716-frac,,,,,,,,0.0,,,,,0.0,,0.0,,0.83,0.0,,0.12,0.0,,0.0,0.0,,,,86.32,,,,0.91,,0.68,,,,2.53,2.56,,1,0,0
011716-prefrac,,,,,,,,0.0,,,,,0.0,,0.0,,1.35,0.0,,0.0,0.0,,0.0,0.0,,,,78.72,1.03,,,0.63,,0.89,,,,2.93,5.17,,1,0,0
011718-01-slh-sce,0.0,0.0,,,,0.25,0.13,0.0,0.1,0.0,0.0,0.0,0.24,0.0,5.11,0.0,0.4,0.41,0.32,0.55,1.13,2.45,0.31,0.61,0.22,0.08,,9.92,0.01,48.36,0.01,0.01,0.01,0.01,,,11.1,1.35,0.01,,0,2,0
011818-01-straw-lem-sce,0.0,0.0,,,,0.18,0.17,0.0,0.08,0.0,0.0,0.0,0.38,0.0,3.15,0.13,0.57,0.52,0.24,0.97,2.77,1.47,0.36,1.97,0.16,0.0,,16.13,0.01,48.99,0.01,0.01,0.01,0.01,,,5.46,1.17,0.01,,0,2,0
