strain,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content,ana360,psilabs,sclabs
00-ow-1,,,,,,,,0.0,,,,,0.0,,0.0,,0.82,0.0,,0.95,0.0,,0.0,0.0,,,1.23,46.22,,,,0.82,,0.21,,,0.26,1.22,0.76,,1,0,0
007-og,,,,,,,,0.0,,,,,2.74,,0.0,,0.3,0.02,,0.23,0.0,,0.0,0.0,,,9.0,0.93,,,,,0.13,0.19,,,0.55,1.74,0.06,,1,0,0
008-wa,,,,,,,,0.0,,,,,0.0,,0.0,,0.45,0.0,,1.02,0.0,,0.0,0.0,,,12.67,65.72,,,,0.29,1.04,1.58,,,1.64,,0.76,,1,0,0
01-thai-lemon-haze-shatter,,,,,,,,0.96,,,,,5.21,,0.0,,2.18,4.3,,1.88,1.24,,0.0,1.79,,,48.5,6.32,,,,,0.59,0.31,,,1.91,,0.45,,1,0,0
0107160,,,,,,,,0.0,,,,,0.0,,0.0,,0.64,0.0,,0.6,0.0,,0.0,0.0,,,0.49,76.22,,,,0.47,0.05,0.53,,,0.59,2.29,1.37,,1,0,0
02-dutch-treat-shatter,,,,,,,,0.42,,,,,10.83,,0.0,,1.0,0.0,,1.69,1.01,,0.0,7.76,,,53.95,3.03,,,,,0.58,0.17,,,1.67,,0.3,,1,0,0
02nl,,,,,,,,,,,,,,,,,,,,,,,,,,,5.39,,,,,0.03,3.17,,,,,0.01,,,1,0,0
03-batch-01,,,,,,,,0.0,,,,,0.0,,0.0,,1.78,2.4,,2.76,0.0,,0.0,0.0,,,78.45,3.45,,,,,0.24,0.36,,,1.04,,0.08,,1,0,0
03-sativa-blend-shatter,,,,,,,,0.47,,,,,5.58,,0.0,,0.12,2.19,,1.47,0.59,,0.0,0.0,,,55.33,1.8,,,,,0.61,0.36,,,3.24,,0.37,,1,0,0
04-ice-queen-shatter,,,,,,,,0.96,,,,,7.82,,0.0,,0.27,2.36,,0.58,0.0,,0.0,0.0,,,45.19,3.63,,,,,0.55,0.33,,,5.22,,0.23,,1,0,0
