Test Result UID,Sample Name,Sample Type,Receipt Time,Test Time,Provider,cis-Nerolidol,trans-Nerolidol,trans-Nerolidol 1,trans-Nerolidol 2,trans-Ocimene,3-Carene,Camphene,Caryophyllene Oxide,Eucalyptol,Geraniol,Guaiol,Isopulegol,Linalool,Ocimene,Terpinolene,alpha-Bisabolol,alpha-Humulene,alpha-Pinene,alpha-Terpinene,beta-Caryophyllene,beta-Myrcene,beta-Ocimene,beta-Pinene,delta-Limonene,gamma-Terpinene,p-Cymene,delta-9 THC-A,delta-9 THC,delta-8 THC,THC-A,THCV,CBN,CBD-A,CBD,CBDV,CBDV-A,delta-9 CBG-A,delta-9 CBG,CBC,Moisture Content,strain
,Guava Kush (G/H #B2),"Flower, Inhalable",2016-11-01,,187,,,,,,0.0,0.019,0.011000000000000001,0.0,0.0,0.0,0.0,0.032,0.0,0.004,0.038,0.165,1.179,0.0,0.449,0.941,,0.494,0.281,0.0,0.0,,0.61,0.0,23.23,0.02,0.0,0.1,0.0,0.0,0.02,0.39,0.09,0.08,,guava-kush
,Watermelon Rancher (WR #A1),"Flower, Inhalable",2016-11-01,,187,,,,,,0.036000000000000004,0.005,0.0,0.003,0.0,0.043,0.0,0.0,0.012,0.992,0.0,0.027000000000000003,0.44799999999999995,0.019,0.08800000000000001,1.146,,0.252,0.20600000000000002,0.011000000000000001,0.0,,0.66,0.01,16.34,0.03,0.0,0.05,0.0,0.01,0.02,0.11,0.09,0.03,,watermelon-rancher
,PSCR-634,"Concentrate, Inhalable",2016-11-02,,64,,,,,,0.0,0.0,0.20600000000000002,0.0,0.0,0.0,0.0,0.18100000000000002,0.0,0.006999999999999999,0.354,0.6759999999999999,0.094,0.0,2.2840000000000003,0.201,,0.16399999999999998,0.616,0.0,0.0,,3.35,0.18,68.81,0.09,0.0,0.17,0.0,0.0,0.0,1.32,0.12,0.0,,pscr-634
,STCR-638,"Concentrate, Inhalable",2016-11-02,,64,,,,,,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.506,0.0,0.0,0.54,1.0290000000000001,0.084,0.0,3.695,0.318,,0.16899999999999998,0.7929999999999999,0.0,0.0,,3.65,0.19,69.97,0.1,0.0,0.18,0.0,0.26,0.0,0.9,0.09,0.11,,stcr-638
,PSCR-639,"Concentrate, Inhalable",2016-11-02,,64,,,,,,0.0,0.035,0.038,0.0,0.0,0.0,0.0,0.326,0.0,0.013000000000000001,0.327,0.479,0.201,0.0,1.37,0.546,,0.254,0.992,0.0,0.0,,3.27,0.0,72.27,0.11,0.0,0.17,0.0,0.0,0.0,0.97,0.38,0.0,,pscr-639
,Sour Cookies,"Concentrate, Inhalable",2016-11-02,,391,,,,,,0.0,0.012,0.095,0.0,0.0,0.0,0.0,0.573,0.0,0.0,0.218,0.43700000000000006,0.068,0.0,1.2830000000000001,0.22399999999999998,,0.13699999999999998,0.7959999999999999,0.0,0.0,,2.24,0.0,68.92,0.06,0.0,0.2,0.0,0.0,0.0,2.49,0.39,0.0,,sour-cookies
,Tiger Diesel,"Concentrate, Inhalable",2016-11-02,,391,,,,,,0.0,0.016,0.069,0.0,0.0,0.0,0.0,0.171,0.0,0.009000000000000001,0.608,1.11,0.08,0.0,2.747,0.20199999999999999,,0.147,0.9109999999999999,0.0,0.0,,2.11,0.0,69.3,0.13,0.0,0.17,0.0,0.0,0.0,1.58,0.26,0.0,,tiger-diesel
,Tangie Berry,"Concentrate, Inhalable",2016-11-02,,391,,,,,,0.018000000000000002,0.016,0.22899999999999998,0.0,0.003,0.017,0.0,0.19899999999999998,0.0,0.324,0.325,0.852,0.207,0.003,2.169,0.306,,0.196,0.39,0.006,0.0,,2.1,0.0,70.42,0.07,0.0,0.25,0.0,0.0,0.0,2.01,0.32,0.0,,tangie-berry
,Do-si-Dos,"Concentrate, Inhalable",2016-11-02,,391,,,,,,0.0,0.025,0.09300000000000001,0.0,0.003,0.0,0.0,0.541,0.0,0.01,0.207,0.376,0.133,0.0,1.188,0.201,,0.18100000000000002,0.769,0.0,0.0,,2.2,0.0,70.13,0.06,0.0,0.17,0.0,0.0,0.0,2.5,0.39,0.0,,do-si-dos
,OG Kush,"Concentrate, Inhalable",2016-11-02,,391,,,,,,0.0,0.013000000000000001,0.092,0.0,0.0,0.019,0.0,0.12,0.0,0.008,0.547,0.85,0.086,0.0,2.7060000000000004,0.18600000000000003,,0.16399999999999998,0.7440000000000001,0.0,0.0,,1.94,0.0,67.34,0.12,0.0,0.16,0.0,0.0,0.0,1.93,0.2,0.0,,og-kush
