,strain_name,strain_desc,strain_type,strain_percent_indica,strain_percent_sativa,strain_thc_percent,strain_flavors,strain_effects
0,Sugar Cane,Sugar Cane is a rare slightly sativa dominant hybrid strain (60% sativa/40% indica) created through crossing the classic Platinum X,Sativa Dominant Hybrid,40% Indica,60% Sativa,20.0,Earthy Sweet Candy Grape Spicy Fruity Herbal Pungent,Body High Cerebral Creative Energizing Relaxing Uplifting Body High Cerebral Creative Energizing Relaxing Uplifting
1,MAC1,"MAC 1, also known as “Miracle Alien Cookies X1.” Is an evenly balanced hybrid strain (50% indica/50% sativa) created as a backcross of the iconic MAC strain. This celebrity child takes the beloved effects of MAC and amps it up a notch to a whole new level, with a super lifted feeling that will have you flying higher and higher the more that you toke. The high starts in the head with a rushing euphoria that fills your mind with an expansive happiness, gently easing away negative or racing thoughts and replacing them with creative motivation and pure happiness. A relaxing body high accompanies this cerebral lift, keeping you tethered to the world below as your mind soars higher and higher into outer space. In combination with its super high 20-23% average THC level, these heavy effects make MAC 1 perfect for treating those suffering from conditions such as chronic pain, mood swings, chronic fatigue, depression and chronic stress. This bud has a classic sour diesel flavor with a spicy herbal overtone that’s accented by sweet citrus. The aroma is very similar, although with a heavy pungent overtone that lingers long after your final toke. MAC 1 buds have rounded fluffy dark olive green nugs with rich purple undertones, thin orange hairs and a coating of tiny white crystal trichomes.",Hybrid,50% Indica,50% Sativa,21.5,Sweet Diesel Sour Spicy Herbal Pungent,Creative Euphoria Happy Motivation Relaxing Uplifting Creative Euphoria Happy Motivation Relaxing Uplifting
2,Chemdawg,"With a near-even balance between sativa and indica (sativa/indica ratio of 45/55), Chemdawg, also known as Chemdog, delivers on both fronts. A clear cerebral high drives creativity while a stony, sleepy body high fights insomnia and relaxes the muscles. This strain has THC levels up to 19%, meaning it's more potent than most. It has a powerful spicy, plant-like taste and smell with a hint of diesel; the aroma alone can alert snoopy neighbors to even a carefully concealed pot grow. Not surprisingly, Chemdawg is used to produce Sour Diesel, one of the world's most popular strains. Little is known about Chemdawg's history or genetics, though there are urban legends involving a Grateful Dead concert, a handful of seeds, and a grower named Chemdog. Best for anxiety and pain, this strain is also helpful with depression and ADHD, as well as migraines, arthritis, and PMS. Dry mouth and dry eyes are possible when using this strain, while other side effects are less likely. Chemdawg is most popular on the West Coast, in Nevada, and in Colorado. It's possible to find on the black market but doesn't come around very often.",Indica Dominant Hybrid,55% Indica,45% Sativa,19.0,Earthy Pungent Chemical Diesel Pine,Cerebral Creative Euphoria Happy Relaxing Cerebral Creative Euphoria Happy Relaxing
3,Jack Herer,"Jack Herer is easily one of the best-known strains in America. Originating in California, this sativa honors the memory of Jack Herer the man, a longtime local cannabis activist and medical marijuana user. It's not quite as strong as its popularity might suggest, but the high is heady and distinctive. Jack Herer has a unique loamy smell and taste with hints of pine and trees. The sativa high is happy, bubbly, and euphoric, spurring energy and creativity. Jack Herer is ideal for errands and other daytime activities. This strain is effective for patients with mental or neurological disorders, including bipolar disorder, anxiety, migraines, PTSD, and ADHD. Dry mouth and red eyes are common, along with occasional dizziness and paranoia. Jack Herer is popular throughout the United States, but, like many other strains, it's most popular in the West.",Sativa,,,23.0,Earthy Sweet Spicy Herbal Lemon Pine Woody,Body High Cerebral Creative Euphoria Happy Body High Cerebral Creative Euphoria Happy
4,Nerds,"Nerds, also known as “Nerdz,” is an evenly balanced hybrid strain (50% indica/50% sativa) created through crossing the delicious",Hybrid,50% Indica,50% Sativa,15.5,Earthy Sweet Grape Spicy Herbal Fruity Berry Woody,Cerebral Creative Euphoria Focus Relaxing Cerebral Creative Euphoria Focus Relaxing
5,Green Dream,"A sativa dominant hybrid, Green Dream is a cross between Blue Dream and Green Crack. It is termed as Green Dream due to its taste which is kind of like green tea and also because it has been formed out of Blue Dream that is one of the most prevalent strains available. The buds of Green Dream smell sour and fruity. It's got light orange hairs but a good quality bud will mostly be covered in crystals. The smell that is produced when a person is smoking this is similar to the taste they experience at the back of their throat. The effect this strain produces on a patient is that it provides them with child-like feeling towards life. With an insanely high THC level of 24 percent, Green Dream instills in a person an out of body sensation. This hybrid is predominantly used for stress but is also helpful for depression. It contains a number of great effects. This strain is effective for stress, chronic fatigue and when a person needs to get things done quickly. Furthermore, Green Dream stimulates cerebral effects such as increasing your imagination and creativity. A good smoke that can be utilized anytime, unlike heavy Indica it does not knock out a person.",Hybrid,50% Indica,50% Sativa,23.5,Earthy Citrus Blueberry Sweet Fruity Skunky Pine Woody,Creative Energizing Euphoria Happy Sociable Uplifting Creative Energizing Euphoria Happy Sociable Uplifting
6,Lemon Skunk,"With THC levels that reach 22% in some tests, this is a very potent sativa-heavy hybrid. Lemon Skunk, which has a sativa/indica ratio of 60:40, is the award-winning descendant of two distinct Skunk phenotypes that were selected specifically for their tangy lemon traits. The aroma is Skunky and sweet while the flavor is reminiscent of sweet lemons and other citrus fruit. Lemon Skunk delivers a heady, peppy cerebral high that comes with a boost of energy and creativity, a dose of happiness, and a euphoric kick. It's an uplifting yet lazy experience. The sativa genes offer effective treatment for depression, nausea, chronic pain, and everyday stresses. CBD levels are a bit higher than average in this strain, roughly 0.5% in some tests, but not high enough to recommend it as treatment for conditions that respond to CBD, such as epilepsy. Dry mouth and watery eyes are the only widely reported negative effects of Lemon Skunk, though paranoia, anxiety, and dizziness are also possible. Found up and down the West Coast, this strain is also popular in Colorado. It occasionally circulates on the black market, as well.",Sativa Dominant Hybrid,40% Indica,60% Sativa,18.5,Earthy Citrus Sweet Sour Lemon Skunky Pungent Tangy,Energizing Euphoria Giggly Happy Sociable Uplifting Energizing Euphoria Giggly Happy Sociable Uplifting
7,Girl Scout Cookies,"Girl Scout Cookies is an indica-dominant hybrid with a strong sativa component (40:60 sativa/indica ratio). This strain can reach THC levels of up to 28%, meaning it's one of the most potent strains available to medical marijuana patients. This strain provides the best aspects of both sativa and indica, and the high is powerful, happy, and euphoric, but with couch-lock body effects and feelings of lethargy. Girl Scout Cookies tastes sweet and earthy, and it smells much the same. It's most effective at treating anxiety, stress, and depression, though it's also good for appetite. Dry mouth is the only likely adverse effect, though others are possible. This strain began as a crossbreed of OG Kush and a near-even hybrid; (",Indica Dominant Hybrid,60% Indica,40% Sativa,28.0,Earthy Vanilla Sweet Pungent Spicy Cherry Lemon Mint Woody Nutty,Cerebral Creative Euphoria Relaxing Cerebral Creative Euphoria Relaxing
8,White Tahoe Cookies,White Tahoe Cookies is an indica dominant hybrid strain created through crossing,Indica Dominant Hybrid,70% Indica,30% Sativa,,Earthy Citrus Sweet Spicy Hash Herbal Fruity Nutty,Aroused Creative Euphoria Happy Relaxing Sleepy Aroused Creative Euphoria Happy Relaxing Sleepy
9,Super Snow Lotus,Super Snow Lotus is a slightly sativa dominant hybrid strain (65% sativa/35% indica) created through crossing the infamous,Sativa Dominant Hybrid,35% Indica,65% Sativa,19.0,Earthy Citrus Floral Sour Spicy Herbal Skunky Flowery,Cerebral Creative Energizing Happy Relaxing Uplifting Cerebral Creative Energizing Happy Relaxing Uplifting
