index,Strain,Type,Rating,Effects,Flavor,Description,full_descriptions
0,100-og,hybrid,4,"creative,energetic,tingly,euphoric,relaxed","earthy,sweet,citrus","$100 og is a 50/50 hybrid strain that packs a strong punch. the name supposedly refers to both its strength and high price when it first started showing up in hollywood. as a plant, $100 og tends to produce large dark green buds with few stems. users report a strong body effect of an indica for pain relief with the more alert, cerebral feeling thanks to its sativa side.","100-og hybrid creative,energetic,tingly,euphoric,relaxed earthy,sweet,citrus $100 og is a 50/50 hybrid strain that packs a strong punch. the name supposedly refers to both its strength and high price when it first started showing up in hollywood. as a plant, $100 og tends to produce large dark green buds with few stems. users report a strong body effect of an indica for pain relief with the more alert, cerebral feeling thanks to its sativa side."
1,98-white-widow,hybrid,4.7,"relaxed,aroused,creative,happy,energetic","flowery,violet,diesel","the ‘98 aloha white widow is an especially potent cut of white widow that has grown in renown alongside hawaiian legends like maui wowie and kona gold. this white widow phenotype reeks of diesel and skunk and has a rich earthy taste with intermittent notes of hash. its buds are coated in trichomes, giving its dark foliage a lustrous glint to go along with its room-filling odor. this one-hitter-quitter uplifts the mind with mind-bending euphoria that materializes in the body as airy relaxation. ‘98 aloha white widow is available from pua mana 1st hawaiian pakalōlō seed bank.  ","98-white-widow hybrid relaxed,aroused,creative,happy,energetic flowery,violet,diesel the ‘98 aloha white widow is an especially potent cut of white widow that has grown in renown alongside hawaiian legends like maui wowie and kona gold. this white widow phenotype reeks of diesel and skunk and has a rich earthy taste with intermittent notes of hash. its buds are coated in trichomes, giving its dark foliage a lustrous glint to go along with its room-filling odor. this one-hitter-quitter uplifts the mind with mind-bending euphoria that materializes in the body as airy relaxation. ‘98 aloha white widow is available from pua mana 1st hawaiian pakalōlō seed bank.  "
2,1024,sativa,4.4,"uplifted,happy,relaxed,energetic,creative","spicy/herbal,sage,woody","1024 is a sativa-dominant hybrid bred in spain by medical seeds co. the breeders claim to guard the secret genetics due to security reasons, but regardless of its genetic heritage, 1024 is a thc powerhouse with a sweet and spicy bouquet. subtle fruit flavors mix with an herbal musk to produce uplifting sativa effects. one specific phenotype is noted for having a pungent odor that fills a room, similar to burning incense.","1024 sativa uplifted,happy,relaxed,energetic,creative spicy/herbal,sage,woody 1024 is a sativa-dominant hybrid bred in spain by medical seeds co. the breeders claim to guard the secret genetics due to security reasons, but regardless of its genetic heritage, 1024 is a thc powerhouse with a sweet and spicy bouquet. subtle fruit flavors mix with an herbal musk to produce uplifting sativa effects. one specific phenotype is noted for having a pungent odor that fills a room, similar to burning incense."
3,13-dawgs,hybrid,4.2,"tingly,creative,hungry,relaxed,uplifted","apricot,citrus,grapefruit","13 dawgs is a hybrid of g13 and chemdawg genetics bred by canadian lp delta 9 biotech. the two potent strains mix to create a balance between indica and sativa effects. 13 dawgs has a sweet earthy musk that brings a blend of woody citrus flavors. the effects of 13 dawgs induce a happy, relaxed body buzz with a creative and focused mind that counters depression and stimulates the appetite.","13-dawgs hybrid tingly,creative,hungry,relaxed,uplifted apricot,citrus,grapefruit 13 dawgs is a hybrid of g13 and chemdawg genetics bred by canadian lp delta 9 biotech. the two potent strains mix to create a balance between indica and sativa effects. 13 dawgs has a sweet earthy musk that brings a blend of woody citrus flavors. the effects of 13 dawgs induce a happy, relaxed body buzz with a creative and focused mind that counters depression and stimulates the appetite."
4,24k-gold,hybrid,4.6,"happy,relaxed,euphoric,uplifted,talkative","citrus,earthy,orange","also known as kosher tangie, 24k gold is a 60% indica-dominant hybrid that combines the legendary la strain kosher kush with champion sativa tangie to create something quite unique. growing tall in its vegetative cycle and very stretchy in flower, this one will need an experienced hand when grown indoors. most phenotypes will exhibit a sweet orange aroma from the tangie along with the dark coloration of the kosher kush, and will offer a strong citrus flavor when smoked or vaped. thc levels range from 18% to 24%; definitely not for novice users! ","24k-gold hybrid happy,relaxed,euphoric,uplifted,talkative citrus,earthy,orange also known as kosher tangie, 24k gold is a 60% indica-dominant hybrid that combines the legendary la strain kosher kush with champion sativa tangie to create something quite unique. growing tall in its vegetative cycle and very stretchy in flower, this one will need an experienced hand when grown indoors. most phenotypes will exhibit a sweet orange aroma from the tangie along with the dark coloration of the kosher kush, and will offer a strong citrus flavor when smoked or vaped. thc levels range from 18% to 24%; definitely not for novice users! "
5,3-bears-og,indica,0,none,none,"3 bears og by mephisto genetics is an autoflowering cross of bear og, karma’s og cut, and triangle kush. this indica-dominant strain generates pungent, flavorful buds in a smaller, more manageable plant size. mephisto genetics describes 3 bears og as a cornerstone to their artisanal collection, blending the best attributes of the fabled og kush with a compact, controllable growth structure. the 3 bears og has an approximate 70-day growth cycle and offers effects that stimulate the appetite while leading the body toward sleep.","3-bears-og indica none none 3 bears og by mephisto genetics is an autoflowering cross of bear og, karma’s og cut, and triangle kush. this indica-dominant strain generates pungent, flavorful buds in a smaller, more manageable plant size. mephisto genetics describes 3 bears og as a cornerstone to their artisanal collection, blending the best attributes of the fabled og kush with a compact, controllable growth structure. the 3 bears og has an approximate 70-day growth cycle and offers effects that stimulate the appetite while leading the body toward sleep."
6,3-kings,hybrid,4.4,"relaxed,euphoric,happy,uplifted,hungry","earthy,sweet,pungent","the 3 kings marijuana strain, a holy trinity of headband, sour diesel, and og kush, is a sativa-dominant hybrid and genetic masterpiece. sour tanginess reek from the sage green buds, and its frosty coat gives you a fair warning of the 3 kings’ potency. medical patients will appreciate the versatility of this strain’s medicinal effects as it relieves pain, stress, and nausea without heavy sedation.","3-kings hybrid relaxed,euphoric,happy,uplifted,hungry earthy,sweet,pungent the 3 kings marijuana strain, a holy trinity of headband, sour diesel, and og kush, is a sativa-dominant hybrid and genetic masterpiece. sour tanginess reek from the sage green buds, and its frosty coat gives you a fair warning of the 3 kings’ potency. medical patients will appreciate the versatility of this strain’s medicinal effects as it relieves pain, stress, and nausea without heavy sedation."
7,303-og,indica,4.2,"relaxed,happy,euphoric,uplifted,giggly","citrus,pungent,earthy","the indica-dominant 303 og is a colorado strain bred by crossing pre-98 bubba kush and chemdawg. its parent strains pass on a complex flavor profile of coffee and spice with diesel undertones. its buzz can be described as social and creative, a dreamy experience perfect for letting off steam at the end of the work day. the happy euphoria induced by 303 og may help patients treating depression, anxiety, and stress disorders.","303-og indica relaxed,happy,euphoric,uplifted,giggly citrus,pungent,earthy the indica-dominant 303 og is a colorado strain bred by crossing pre-98 bubba kush and chemdawg. its parent strains pass on a complex flavor profile of coffee and spice with diesel undertones. its buzz can be described as social and creative, a dreamy experience perfect for letting off steam at the end of the work day. the happy euphoria induced by 303 og may help patients treating depression, anxiety, and stress disorders."
8,3d-cbd,sativa,4.6,"uplifted,focused,happy,talkative,relaxed","earthy,woody,flowery","3d cbd from snoop dogg’s branded line of cannabis strains was crafted with patients in mind. with a thc:cbd ratio of about 5:8, this earthy-flavored sativa is preferred for treating pain, inflammation, and muscle tension. consumers susceptible to thc-induced anxiety may also appreciate the sobering, relaxing balance cbd has to offer.","3d-cbd sativa uplifted,focused,happy,talkative,relaxed earthy,woody,flowery 3d cbd from snoop dogg’s branded line of cannabis strains was crafted with patients in mind. with a thc:cbd ratio of about 5:8, this earthy-flavored sativa is preferred for treating pain, inflammation, and muscle tension. consumers susceptible to thc-induced anxiety may also appreciate the sobering, relaxing balance cbd has to offer."
9,3x-crazy,indica,4.4,"relaxed,tingly,happy,euphoric,uplifted","earthy,grape,sweet","also known as optimus prime, the indica-dominant 3x crazy is a three-way cross between og kush, bubba kush, and granddaddy purple. its aroma is comprised of sweet grape, spicy pepper, and earthy notes passed on by its bubba kush parent. this indica will leave you sedated with soothing full-body effects, but not before a brief phase of clear-headed cerebral psychoactivity. the relaxing effects induced by 3x crazy can be used to treat a variety of severe symptoms, some of which include pain, spasms, tension, and insomnia. ","3x-crazy indica relaxed,tingly,happy,euphoric,uplifted earthy,grape,sweet also known as optimus prime, the indica-dominant 3x crazy is a three-way cross between og kush, bubba kush, and granddaddy purple. its aroma is comprised of sweet grape, spicy pepper, and earthy notes passed on by its bubba kush parent. this indica will leave you sedated with soothing full-body effects, but not before a brief phase of clear-headed cerebral psychoactivity. the relaxing effects induced by 3x crazy can be used to treat a variety of severe symptoms, some of which include pain, spasms, tension, and insomnia. "
